,producto,presentacion,marca,categoria,catalogo,precio,fechaRegistro,cadenaComercial,giro,nombreComercial,direccion,estado,municipio,latitud,longitud
0,TELEVISORES,UN 55C9000ZF. COLOR 55 PLGS. PANTALLA CRISTAL LIQUIDO LED 3D,SAMSUNG,APARATOS ELECTRONICOS,ELECTRODOMESTICOS,99999.0,2011-01-10 00:00:00.000,SEARS ROEBUCK DE MEXICO,TIENDA DEPARTAMENTAL,SEARS SUCURSAL METEPEC,"NORTE NO. 126, GALERIAS METEPEC",MÉXICO,METEPEC                                 ,19.259011,-99.619271
48,PANTALLAS,LC-80LE844U. COLOR 80 PLGS. PANTALLA LED 3D. C/ENTRADA USB,SHARP. AQUOS,APARATOS ELECTRONICOS,ELECTRODOMESTICOS,99999.0,2012-11-01 00:00:00.000,LIVERPOOL,TIENDA DE AUTOSERVICIO,LIVERPOOL,"AV. TULUM NO. 276 SM. 7 LOCAL 4-9, PLAZA LAS AMERICAS",QUINTANA ROO,BENITO JUAREZ                           ,21.14718,-86.824214
